279442699	20	567540	true	2017-02-13T16:26:44Z	2017-02-13T16:26:44Z	16	
279443050	20	567540	true	2017-02-13T16:27:48Z	2017-02-13T16:27:48Z	19	
279453016	20	4421720	true	2017-02-13T16:59:32Z	2017-02-13T16:59:32Z	21	
279558022	21	9373002	false	2017-02-13T23:30:09Z	2017-02-13T23:30:09Z	86	
279569852	21	567540	false	2017-02-14T00:35:37Z	2017-02-14T00:35:37Z	59	
279837766	21	9373002	false	2017-02-14T21:13:47Z	2017-02-14T21:13:47Z	71	
279837933	21	9373002	false	2017-02-14T21:14:25Z	2017-02-14T21:14:25Z	12	
279839864	21	9373002	false	2017-02-14T21:22:07Z	2017-02-14T21:22:07Z	14	
279873933	21	9373002	false	2017-02-14T23:48:53Z	2017-02-14T23:48:53Z	5	
280157246	25	79017	true	2017-02-15T22:13:40Z	2017-02-15T22:13:40Z	3	
280165046	25	567540	true	2017-02-15T22:44:49Z	2017-02-15T22:44:49Z	31	
280167870	25	79017	true	2017-02-15T22:55:31Z	2017-02-15T22:55:31Z	25	
280172423	25	567540	true	2017-02-15T23:14:16Z	2017-02-15T23:14:16Z	25	
